Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
UNIT -- LCD HUAWEI P SMART/7S BLACK,HUAWEI,BLACK,P SMART/7S,LCD,89,1,0
UNIT -- LCD OPPO A83 BLACK,OPPO,BLACK,A83,LCD,0,1,0
UNIT -- LCD OPPO A83 WHITE,OPPO,WHITE,A83,LCD,0,1,0
UNIT -- LCD VIVO Y67 WHITE,VIVO,WHITE,Y67,LCD,0,1,0
UNIT -- LCD HUAWEI P20 LITE BLACK,HUAWEI,BLACK,P20 LITE,LCD,385,1,0
UNIT -- LCD NOKIA 3 BLACK,NOKIA,BLACK,3,LCD,0,1,0
UNIT -- LCD NOKIA 5 BLACK,NOKIA,BLACK,5,LCD,1,1,0
UNIT -- LCD NOKIA 6 BLACK,NOKIA,BLACK,6,LCD,7,1,0
UNIT -- LCD VIVO Y71 WHITE,VIVO,WHITE,Y71,LCD,217,1,0
UNIT -- LCD VIVO Y71 BLACK,VIVO,BLACK,Y71,LCD,316,1,0
UNIT -- LCD SAM J7 MAX BLACK,SAM,BLACK,J7 MAX,LCD,0,1,0
UNIT -- LCD SAM J7 MAX GOLD,SAM,GOLD,J7 MAX,LCD,0,1,0
UNIT -- LCD OPPO F9 BLACK,OPPO,BLACK,F9,LCD,311,1,0
UNIT -- LCD HUAWEI NOVA 3I BLACK,HUAWEI,BLACK,NOVA 3I,LCD,700,1,0
UNIT -- LCD SAM J610 BLACK,SAM,BLACK,J610,LCD,1204,1,0
UNIT -- LCD SAM J260 BLACK,SAM,BLACK,J260,LCD,1,1,0
UNIT -- LCD OPPO A3S BLACK,OPPO,BLACK,A3S,LCD,1,1,0
UNIT -- LCD HUAWEI HONOR 8C BLACK,HUAWEI,BLACK,HONOR 8C,LCD,384,1,0
UNIT -- LCD NOKIA 2.1 BLACK,NOKIA,BLACK,2.1,LCD,20,1,0
UNIT IC -- LED APPLE IPHONE XS BLACK,APPLE,BLACK,IPHONE XS,LED,61,1,0
UNIT -- LCD VIVO Y95 Y93 Y91 BLACK,VIVO,BLACK,Y95 Y93 Y91,LCD,1619,1,0
UNIT -- LCD OPPO A5S/A7 BLACK,OPPO,BLACK,A5S/A7,LCD,339,1,0
TOOLS BEST-ON OCA MACHINE 666,BEST-ON,,OCA MACHINE 666,TOOLS,0,1,0
BATTERY SAM A720,SAM,,A720,BATTERY,62,1,0
UNIT -- LCD SAM M20 BLACK,SAM,BLACK,M20,LCD,113,1,0
UNIT -- LCD SAM A10 BLACK,SAM,BLACK,A10,LCD,2197,1,0
UNIT -- LCD HUAWEI HONOR 10 LITE BLACK,HUAWEI,BLACK,HONOR 10 LITE,LCD,324,1,0
UNIT -- LCD HUAWEI P SMART 2019 BLACK,HUAWEI,BLACK,P SMART 2019,LCD,4,1,0
UNIT -- LCD HUAWEI Y5 2019 BLACK,HUAWEI,BLACK,Y5 2019,LCD,150,1,0
UNIT -- LCD HUAWEI Y7 2019 BLACK,HUAWEI,BLACK,Y7 2019,LCD,777,1,0
UNIT -- LCD HUAWEI Y6 2019 BLACK,HUAWEI,BLACK,Y6 2019,LCD,883,1,0
UNIT -- LCD OPPO F11 BLACK,OPPO,BLACK,F11,LCD,59,1,0
UNIT -- LCD OPPO F11 PRO BLACK,OPPO,BLACK,F11 PRO,LCD,63,1,0
UNIT IC -- LED SAM J810 BLACK,SAM,BLACK,J810,LED,65,1,0
